latitude,longitude,tick,Company,radius,TROBA,CODIGO
-80.62785915,-5.22446742,INC000001852117,TELEFONICA DEL PERU,8391033.065695602,BAG016,BAG0160212
-80.62766288,-5.21980411,INC000001852154,TELEFONICA DEL PERU,8391108.617136993,BAG016,BAG0160313
-80.62755517,-5.21781841,INC000001852145,TELEFONICA DEL PERU,8391140.050640272,BAG016,BAG0160314
-80.62746503,-5.2256369,INC000001852147,TELEFONICA DEL PERU,8391000.539680397,BAG016,BAG0160315
-80.6270423,-5.22480686,INC000001852218,TELEFONICA DEL PERU,8391002.109711364,BAG016,BAG0160316
-80.62648483,-5.22623796,INC000001852301,TELEFONICA DEL PERU,8390960.002008438,BAG016,BAG0160317
-80.62631271,-5.22218171,INC000001852328,TELEFONICA DEL PERU,8391025.684498183,BAG016,BAG0160318
-80.62627996,-5.221788,INC000001852295,TELEFONICA DEL PERU,8391031.568725746,BAG016,BAG0160419
-80.62607429,-5.1724785,INC000001850151,TELEFONICA DEL PERU,8391887.96426102,BAG016,BAG0160420
-80.62597906,-5.19681561,INC000001846937,TELEFONICA DEL PERU,8391459.236556502,BAG016,BAG0160421
-80.62564086,-5.22530354,INC000001852140,TELEFONICA DEL PERU,8390950.496955793,BAG016,BAG0160422
-80.62522232,-5.18940385,INC000001680208,TELEFONICA DEL PERU,8391565.785467876,BAG016,BAG0160423
-80.6251873,-5.22371815,INC000001852106,TELEFONICA DEL PERU,8390964.340938324,BAG016,BAG0160424
-80.62509671,-5.20872926,INC000001852355,TELEFONICA DEL PERU,8391223.807048129,BAG016,BAG0160525
-80.62467,-5.213793,INC000001852249,TELEFONICA DEL PERU,8391122.151034482,BAG016,BAG0160526
-80.62453432,-5.21809284,INC000001852151,TELEFONICA DEL PERU,8391042.765115894,BAG016,BAG0160527
-80.624529,-5.223002,INC000001852322,TELEFONICA DEL PERU,8390956.709886283,BAG016,BAG0160528
-80.62418213,-5.2229525,INC000001852233,TELEFONICA DEL PERU,8390946.953395793,BAG016,BAG0160529
-80.6241175,-5.17434749,INC000001851751,TELEFONICA DEL PERU,8391795.514075138,BAG016,BAG0160630
-80.6240295,-5.2241605,INC000001852229,TELEFONICA DEL PERU,8390921.14287386,BAG016,BAG0160631
-80.62390999,-5.20780323,INC000001852144,TELEFONICA DEL PERU,8391203.70063065,BAG016,BAG0160632
-80.62388604,-5.22381608,INC000001850751,TELEFONICA DEL PERU,8390922.775659395,BAG016,BAG0160633
-80.62380014,-5.21786051,INC000001852224,TELEFONICA DEL PERU,8391024.353619907,BAG017,BAG0170101
-80.6234189,-5.20418024,INC000001852283,TELEFONICA DEL PERU,8391252.076763684,BAG017,BAG0170102
-80.62339129,-5.20201477,INC000001667841,TELEFONICA DEL PERU,8391289.127921699,BAG017,BAG0170103
-80.62315368,-5.185147,INC000001852271,TELEFONICA DEL PERU,8391577.068036072,BAG017,BAG0170104
-80.62297198,-5.184248095,INC000001852053,TELEFONICA DEL PERU,8391587.249591297,BAG017,BAG0170105
